Order_ID,Order_Date_ID,Delivery_Date_ID,Delivery_Days,Car_ID,Customer_ID,Region,Country,Dealer,Sales_Rep,Customer_Type,Order_Channel,Payment_Method,Discount_Pct,Final_Price_USD,Is_Certified_Pre_Owned,Mileage_At_Sale,Warranty_Years,Customer_Satisfaction_Score,Units_Sold
39,20230502,20230604,33,CAR00038,CUST003843,Rest of World,South Africa,BMW Johannesburg,Emma Al-Farsi,Individual,Dealership Walk-in,Lease,3.95,77128.15,False,0,4,3.9,1
40,20251228,20260422,115,CAR00039,CUST003184,North America,Canada,BMW Toronto,Marco Schmidt,Individual,Dealership Walk-in,Bank Loan,6.67,90063.45,False,0,4,4.0,1
41,20230201,20230215,14,CAR00040,CUST003314,Asia Pacific,China,BMW Shanghai Jing'an,Omar Schmidt,Individual,Dealership Walk-in,Manufacturer Finance,1.19,94857.6,False,0,4,4.7,1
42,20221101,20221218,47,CAR00041,CUST003639,Middle East,UAE,BMW Abu Dhabi,David Tanaka,Individual,Dealership Walk-in,Lease,5.63,78421.47,False,0,4,4.4,1
43,20250630,20250720,20,CAR00042,CUST003247,Europe,Netherlands,BMW Amsterdam,Julia Cohen,Individual,Dealership Walk-in,Bank Loan,0.0,115900.0,False,0,4,4.0,1
44,20240519,20240629,41,CAR00043,CUST000591,Europe,France,BMW Paris Champs-Élysées,Olivia Hassan,Individual,Referral,Manufacturer Finance,4.25,72770.0,False,0,4,5.0,1
45,20220319,20220709,112,CAR00044,CUST000657,Asia Pacific,China,BMW Shanghai Jing'an,Elena Zhang,Individual,Auto Show Event,Cash,4.42,121386.6,False,0,4,4.9,1
46,20230424,20230603,40,CAR00045,CUST001925,Asia Pacific,South Korea,BMW Seoul Gangnam,Daniel Kim,Individual,Referral,Manufacturer Finance,0.0,146100.0,False,0,4,4.4,1
47,20230606,20230730,54,CAR00046,CUST001270,North America,Canada,BMW Toronto,Emma Al-Farsi,Individual,Dealership Walk-in,Bank Loan,4.64,156199.68,False,0,4,4.2,1
48,20260226,20260313,15,CAR00047,CUST001457,Asia Pacific,Japan,BMW Tokyo Minato,Anna Nakamura,Individual,Fleet Program,Cash,5.88,88566.92,False,0,4,5.0,1
49,20241225,20250124,30,CAR00048,CUST001578,Europe,Germany,BMW Niederlassung München,Ahmed Silva,Lease Return Buyout,Dealership Walk-in,Lease,0.0,104100.0,False,0,4,4.5,1
50,20231204,20240130,57,CAR00007,CUST001489,Europe,Spain,BMW Barcelona,Mia Müller,Individual,Referral,Lease,5.25,125638.5,False,0,4,4.7,1
51,20231110,20240117,68,CAR00049,CUST002129,North America,Mexico,BMW Polanco,David Tanaka,Corporate Fleet,Auto Show Event,Bank Loan,6.09,70432.5,False,0,4,3.2,1
52,20220207,20220530,112,CAR00050,CUST002594,Asia Pacific,Singapore,Performance Motors Singapore,Marco Schmidt,Certified Pre-Owned Trade-In,Dealership Walk-in,Lease,0.26,137541.46,True,36064,4,4.6,1
53,20220804,20220820,16,CAR00051,CUST002545,Europe,France,BMW Paris Champs-Élysées,Julia Nakamura,Individual,Online Configurator,Bank Loan,1.6,156062.4,False,0,4,4.0,1
54,20250110,20250317,66,CAR00052,CUST001407,North America,USA,BMW of Manhattan,Karim Ivanov,Individual,Fleet Program,Lease,0.0,81500.0,False,0,4,3.5,1
55,20230515,20230815,92,CAR00053,CUST003654,North America,Canada,BMW Toronto,David Kim,Individual,Dealership Walk-in,Manufacturer Finance,4.87,99410.85,False,0,4,4.2,1
56,20240917,20250108,113,CAR00054,CUST003566,Europe,Netherlands,BMW Amsterdam,Daniel Silva,Corporate Fleet,Referral,Bank Loan,0.81,93932.93,False,0,4,4.4,1
57,20230701,20230809,39,CAR00055,CUST002209,Asia Pacific,South Korea,BMW Seoul Gangnam,Nina Silva,Individual,Online Configurator,Bank Loan,3.89,88325.09,False,0,4,4.3,1
58,20260413,20260605,53,CAR00056,CUST000536,North America,Canada,BMW Toronto,Anna Nakamura,Individual,Fleet Program,Bank Loan,2.08,127785.6,False,0,4,3.9,1
59,20260612,20260922,102,CAR00057,CUST003522,Europe,Spain,BMW Madrid Norte,Omar Tanaka,Corporate Fleet,Online Configurator,Lease,4.72,73175.04,False,0,4,4.7,1
60,20230406,20230519,43,CAR00058,CUST000688,Middle East,Saudi Arabia,BMW Riyadh,Lucas Kim,Individual,Dealership Walk-in,Manufacturer Finance,8.11,68825.61,False,0,4,4.1,1
61,20240701,20240802,32,CAR00059,CUST002898,Asia Pacific,Australia,BMW Melbourne,Nina Tanaka,Individual,Fleet Program,Bank Loan,4.04,78687.2,False,0,4,4.9,1
62,20230825,20230923,29,CAR00060,CUST003347,Middle East,Qatar,BMW Doha,Chen Müller,Corporate Fleet,Dealership Walk-in,Lease,4.01,71224.58,False,0,4,4.6,1
63,20250814,20250917,34,CAR00061,CUST001405,Asia Pacific,Japan,BMW Tokyo Minato,David Andersson,Individual,Dealership Walk-in,Bank Loan,4.08,97166.96,False,0,4,4.2,1
64,20240814,20241031,78,CAR00062,CUST001001,Middle East,Qatar,BMW Doha,Nina Hassan,Individual,Online Configurator,Manufacturer Finance,1.66,87129.24,False,0,4,4.5,1
65,20260317,20260613,88,CAR00063,CUST003123,Europe,France,BMW Paris Champs-Élysées,Anna Nakamura,Lease Return Buyout,Dealership Walk-in,Lease,3.71,136924.38,False,0,4,4.6,1
66,20240120,20240306,46,CAR00064,CUST001390,Asia Pacific,China,BMW Shanghai Jing'an,Daniel Kim,Individual,Online Configurator,Bank Loan,3.59,98434.61,False,0,4,4.7,1
67,20220816,20221016,61,CAR00065,CUST002385,Asia Pacific,Singapore,Performance Motors Singapore,David Rossi,Corporate Fleet,Dealership Walk-in,Bank Loan,2.35,81049.5,False,0,4,4.0,1
68,20240803,20240904,32,CAR00066,CUST001776,North America,Mexico,BMW Polanco,Nina Andersson,Individual,Dealership Walk-in,Manufacturer Finance,3.11,109485.7,False,0,4,4.4,1
69,20230829,20231122,85,CAR00067,CUST000393,Rest of World,Brazil,BMW São Paulo,Olivia Hassan,Individual,Dealership Walk-in,Cash,5.57,145516.63,False,0,4,4.0,1
70,20251214,20260126,43,CAR00068,CUST002839,Middle East,UAE,BMW Dubai Sheikh Zayed Rd,Wei Kim,Individual,Dealership Walk-in,Lease,6.22,81494.82,False,0,4,4.5,1
71,20240603,20240813,71,CAR00069,CUST000065,Middle East,UAE,BMW Abu Dhabi,Mia Nakamura,Corporate Fleet,Dealership Walk-in,Bank Loan,6.93,77341.17,False,0,4,4.5,1
72,20220411,20220606,56,CAR00070,CUST003553,North America,Canada,BMW Vancouver,Anna Khan,Individual,Dealership Walk-in,Manufacturer Finance,0.0,128500.0,False,0,4,5.0,1
73,20250509,20250720,72,CAR00071,CUST002190,North America,Canada,BMW Toronto,David Andersson,Individual,Online Configurator,Lease,6.18,149455.26,False,0,4,5.0,1
74,20240110,20240323,73,CAR00072,CUST002600,Europe,Spain,BMW Madrid Norte,Elena Ivanov,Individual,Online Configurator,Bank Loan,2.21,68746.37,False,0,4,4.1,1
75,20220408,20220523,45,CAR00073,CUST000935,Middle East,Qatar,BMW Doha,David Tanaka,Individual,Online Configurator,Bank Loan,4.03,69770.19,False,0,4,5.0,1
76,20250808,20251124,108,CAR00074,CUST000897,North America,USA,BMW of Austin,Laura Nakamura,Individual,Online Configurator,Bank Loan,0.87,81484.86,False,0,4,4.1,1
77,20220314,20220406,23,CAR00075,CUST001837,Rest of World,South Africa,BMW Johannesburg,Lucas Kim,Individual,Dealership Walk-in,Manufacturer Finance,5.81,71396.02,False,0,4,4.8,1
78,20230612,20230629,17,CAR00076,CUST003335,Europe,Italy,BMW Milano,David Andersson,Individual,Dealership Walk-in,Manufacturer Finance,0.0,171800.0,False,0,4,5.0,1
79,20240129,20240524,116,CAR00077,CUST001045,Europe,Switzerland,BMW Zürich,Elena Ivanov,Individual,Online Configurator,Bank Loan,2.07,109681.6,False,0,4,4.5,1
80,20241214,20250407,114,CAR00078,CUST001240,Asia Pacific,Japan,BMW Osaka,Olivia Silva,Individual,Online Configurator,Cash,1.38,83038.04,False,0,4,4.7,1
81,20260611,20260803,53,CAR00079,CUST001957,Europe,Spain,BMW Madrid Norte,Wei Silva,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,1.95,70007.7,False,0,4,4.9,1
82,20251212,20260217,67,CAR00080,CUST000331,North America,Mexico,BMW Guadalajara,Anna Weber,Individual,Dealership Walk-in,Manufacturer Finance,4.61,87949.58,False,0,4,3.3,1
83,20251206,20260203,59,CAR00081,CUST000342,North America,Mexico,BMW Polanco,Wei Murphy,Individual,Online Configurator,Lease,0.0,93900.0,False,0,4,4.2,1
84,20220608,20220804,57,CAR00082,CUST000141,North America,Canada,BMW Toronto,Sophie Park,Certified Pre-Owned Trade-In,Dealership Walk-in,Manufacturer Finance,3.23,138961.72,True,39104,4,4.7,1
85,20231001,20231019,18,CAR00083,CUST001632,Rest of World,South Africa,BMW Johannesburg,Karim Ivanov,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,3.6,124356.0,False,0,4,3.9,1
86,20221122,20230318,116,CAR00084,CUST003268,North America,Canada,BMW Toronto,Maria Zhang,Individual,Dealership Walk-in,Bank Loan,1.47,89268.18,False,0,4,5.0,1
87,20240120,20240322,62,CAR00085,CUST000091,Europe,Switzerland,BMW Zürich,Nina Andersson,Certified Pre-Owned Trade-In,Online Configurator,Lease,2.44,95901.48,True,35189,4,3.6,1
88,20260522,20260905,106,CAR00086,CUST002059,North America,Mexico,BMW Polanco,Wei Weber,Individual,Online Configurator,Manufacturer Finance,0.21,74543.13,False,0,4,5.0,1
89,20241011,20241105,25,CAR00087,CUST001174,North America,Canada,BMW Vancouver,Omar Schmidt,Lease Return Buyout,Auto Show Event,Bank Loan,4.24,74214.0,False,0,4,5.0,1
90,20250606,20250709,33,CAR00088,CUST000931,Europe,Italy,BMW Roma,Karim Cohen,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,6.0,81404.0,False,0,4,4.1,1
91,20230110,20230125,15,CAR00089,CUST001568,North America,Mexico,BMW Guadalajara,David Rossi,Individual,Dealership Walk-in,Manufacturer Finance,0.0,154200.0,False,0,4,4.3,1
92,20250303,20250425,53,CAR00090,CUST000262,Europe,Spain,BMW Madrid Norte,Ahmed Silva,Individual,Online Configurator,Manufacturer Finance,6.17,75720.81,False,0,4,4.7,1
93,20260109,20260418,99,CAR00091,CUST000739,Europe,Germany,BMW Stuttgart Zentrum,Karim Cohen,Individual,Dealership Walk-in,Manufacturer Finance,0.0,122200.0,False,0,4,5.0,1
94,20250923,20251220,88,CAR00092,CUST003789,North America,Mexico,BMW Polanco,Wei Weber,Individual,Dealership Walk-in,Lease,0.48,141816.0,False,0,4,3.9,1
95,20230131,20230324,52,CAR00093,CUST000347,Europe,France,BMW Paris Champs-Élysées,Wei Murphy,Corporate Fleet,Dealership Walk-in,Bank Loan,0.94,91927.68,False,0,4,4.8,1
96,20230813,20231014,62,CAR00094,CUST003102,Rest of World,Brazil,BMW São Paulo,Elena Zhang,Lease Return Buyout,Auto Show Event,Lease,0.71,92935.44,False,0,4,5.0,1
97,20251024,20251123,30,CAR00095,CUST002808,North America,USA,Chicago M Motors,Liam Garcia,Certified Pre-Owned Trade-In,Auto Show Event,Manufacturer Finance,4.95,129933.35,True,16002,4,4.4,1
98,20231024,20240124,92,CAR00096,CUST002949,Middle East,Saudi Arabia,BMW Riyadh,Elena Cohen,Lease Return Buyout,Online Configurator,Bank Loan,3.49,117549.18,False,0,4,4.4,1
99,20231212,20240225,75,CAR00030,CUST000220,Europe,Netherlands,BMW Amsterdam,Noah Zhang,Individual,Referral,Lease,0.91,83929.23,False,0,4,3.9,1
100,20240715,20240910,57,CAR00097,CUST001610,Europe,Germany,BMW Berlin Mitte,Nina Cohen,Individual,Dealership Walk-in,Bank Loan,2.12,134780.76,False,0,4,3.8,1
101,20220610,20220805,56,CAR00098,CUST001538,Asia Pacific,South Korea,BMW Seoul Gangnam,Maria Zhang,Individual,Dealership Walk-in,Bank Loan,3.1,82558.8,False,0,4,4.8,1
102,20220520,20220620,31,CAR00099,CUST000790,Europe,United Kingdom,BMW Manchester,Karim Cohen,Lease Return Buyout,Dealership Walk-in,Cash,2.39,122305.33,False,0,4,4.5,1
103,20250601,20250626,25,CAR00100,CUST001004,North America,USA,Chicago M Motors,Karim Murphy,Individual,Referral,Manufacturer Finance,6.48,105584.08,False,0,4,5.0,1
104,20240814,20241120,98,CAR00101,CUST001421,Europe,Spain,BMW Barcelona,Mia Müller,Individual,Referral,Manufacturer Finance,1.35,142253.3,False,0,4,4.8,1
105,20221231,20230123,23,CAR00102,CUST001989,Rest of World,Brazil,BMW São Paulo,Laura Nakamura,Individual,Online Configurator,Manufacturer Finance,0.0,135200.0,False,0,4,4.5,1
106,20241217,20250407,111,CAR00103,CUST002578,Europe,Switzerland,BMW Zürich,Felix Garcia,Lease Return Buyout,Dealership Walk-in,Bank Loan,3.63,86733.0,False,0,4,5.0,1
107,20240618,20240827,70,CAR00104,CUST001712,North America,USA,BMW of Austin,Omar Schmidt,Corporate Fleet,Auto Show Event,Bank Loan,4.68,98942.16,False,0,4,4.3,1
108,20220406,20220527,51,CAR00105,CUST002453,Europe,Spain,BMW Madrid Norte,Emma Al-Farsi,Individual,Auto Show Event,Manufacturer Finance,0.0,88500.0,False,0,4,4.8,1
109,20250421,20250705,75,CAR00106,CUST002752,North America,USA,BMW of Manhattan,Noah Zhang,Individual,Dealership Walk-in,Manufacturer Finance,0.0,122800.0,False,0,4,4.5,1
110,20230305,20230531,87,CAR00107,CUST000432,North America,Canada,BMW Vancouver,Julia Nakamura,Individual,Dealership Walk-in,Manufacturer Finance,1.21,134058.03,False,0,4,4.8,1
111,20220912,20221201,80,CAR00108,CUST002236,Europe,France,BMW Paris Champs-Élysées,Felix Garcia,Individual,Online Configurator,Lease,0.56,71099.6,False,0,4,3.9,1
112,20230125,20230520,115,CAR00109,CUST003368,Asia Pacific,South Korea,BMW Seoul Gangnam,Julia Nakamura,Lease Return Buyout,Online Configurator,Lease,0.0,79000.0,False,0,4,5.0,1
113,20260222,20260501,68,CAR00110,CUST001003,Europe,Spain,BMW Madrid Norte,Mia Müller,Individual,Online Configurator,Manufacturer Finance,0.0,127200.0,False,0,4,4.7,1
114,20221002,20221117,46,CAR00111,CUST002310,North America,USA,BMW of Miami,Maria Zhang,Individual,Dealership Walk-in,Lease,1.75,81449.25,False,0,4,3.5,1
115,20230714,20231003,81,CAR00112,CUST001094,North America,Mexico,BMW Guadalajara,Wei Kim,Certified Pre-Owned Trade-In,Fleet Program,Lease,0.0,154400.0,True,30260,4,4.9,1
116,20221014,20221220,67,CAR00113,CUST002223,Asia Pacific,Japan,BMW Osaka,Wei Weber,Individual,Online Configurator,Lease,6.4,122990.4,False,0,4,4.4,1
117,20260104,20260216,43,CAR00114,CUST001032,Europe,Germany,BMW Niederlassung München,Fatima Rossi,Individual,Dealership Walk-in,Lease,0.0,80300.0,False,0,4,4.8,1
118,20240902,20241220,109,CAR00115,CUST002514,North America,Mexico,BMW Polanco,Noah Andersson,Lease Return Buyout,Dealership Walk-in,Bank Loan,0.0,136600.0,False,0,4,4.6,1
119,20230813,20230828,15,CAR00116,CUST000134,Europe,Netherlands,BMW Amsterdam,Karim Cohen,Individual,Dealership Walk-in,Lease,0.0,173800.0,False,0,4,3.5,1
120,20230103,20230131,28,CAR00117,CUST002160,North America,USA,BMW of Manhattan,Omar Schmidt,Individual,Dealership Walk-in,Bank Loan,5.06,153138.22,False,0,4,4.2,1
121,20220420,20220802,104,CAR00118,CUST000696,Rest of World,Brazil,BMW São Paulo,Marco Müller,Certified Pre-Owned Trade-In,Online Configurator,Cash,0.0,136300.0,True,7114,4,3.0,1
122,20220208,20220402,53,CAR00119,CUST003738,Europe,Netherlands,BMW Amsterdam,Mia Müller,Individual,Fleet Program,Lease,0.0,133100.0,False,0,4,4.9,1
123,20260302,20260512,71,CAR00120,CUST000942,North America,Canada,BMW Vancouver,David Tanaka,Individual,Online Configurator,Manufacturer Finance,6.51,129109.69,False,0,4,3.6,1
124,20240103,20240223,51,CAR00121,CUST000868,Asia Pacific,South Korea,BMW Seoul Gangnam,Karim Ivanov,Certified Pre-Owned Trade-In,Online Configurator,Cash,3.11,90398.37,True,35978,4,4.2,1
125,20220222,20220527,94,CAR00122,CUST000811,Europe,United Kingdom,Park Lane BMW London,Tom Tanaka,Individual,Dealership Walk-in,Lease,2.28,84039.2,False,0,4,4.6,1
126,20230721,20231031,102,CAR00123,CUST002714,North America,Canada,BMW Vancouver,Elena Cohen,Individual,Dealership Walk-in,Lease,2.58,132296.36,False,0,4,4.6,1
127,20240617,20240721,34,CAR00124,CUST003655,North America,Canada,BMW Toronto,Anna Weber,Individual,Dealership Walk-in,Manufacturer Finance,2.27,83461.42,False,0,4,3.9,1
128,20220529,20220924,118,CAR00125,CUST002420,Europe,Switzerland,BMW Zürich,Karim Ivanov,Individual,Auto Show Event,Lease,2.47,91580.67,False,0,4,4.6,1
129,20240713,20240817,35,CAR00126,CUST002380,Rest of World,Brazil,BMW São Paulo,Sophie Park,Individual,Dealership Walk-in,Bank Loan,0.0,116100.0,False,0,4,4.3,1
130,20250502,20250520,18,CAR00127,CUST003826,Asia Pacific,Japan,BMW Tokyo Minato,Wei Kim,Individual,Auto Show Event,Bank Loan,7.29,72221.09,False,0,4,3.9,1
131,20230715,20231019,96,CAR00128,CUST003864,Asia Pacific,Australia,BMW Melbourne,Tom Andersson,Individual,Online Configurator,Lease,1.27,100013.49,False,0,4,5.0,1
132,20221113,20230102,50,CAR00096,CUST002646,North America,Canada,BMW Toronto,Wei Weber,Individual,Dealership Walk-in,Bank Loan,0.0,115900.0,False,0,4,4.7,1
133,20251018,20260115,89,CAR00129,CUST000665,Asia Pacific,Singapore,Performance Motors Singapore,Nina Cohen,Lease Return Buyout,Dealership Walk-in,Lease,1.33,85842.9,False,0,4,4.1,1
134,20251030,20251117,18,CAR00130,CUST000885,Europe,Germany,BMW Berlin Mitte,Omar Schmidt,Individual,Dealership Walk-in,Bank Loan,4.43,181678.57,False,0,4,4.6,1
135,20240405,20240616,72,CAR00077,CUST000867,Europe,Italy,BMW Milano,Wei Khan,Individual,Dealership Walk-in,Lease,4.43,106273.84,False,0,4,5.0,1
136,20240817,20241007,51,CAR00131,CUST001471,Asia Pacific,Singapore,Performance Motors Singapore,Julia Cohen,Individual,Auto Show Event,Cash,1.62,192136.14,False,0,4,4.1,1
137,20230702,20230930,90,CAR00132,CUST003704,Middle East,UAE,BMW Dubai Sheikh Zayed Rd,Nina Andersson,Individual,Dealership Walk-in,Lease,2.34,152740.24,False,0,4,4.1,1
138,20260405,20260706,92,CAR00133,CUST003523,North America,Canada,BMW Vancouver,David Andersson,Individual,Dealership Walk-in,Lease,4.08,138412.56,False,0,4,3.9,1
139,20250514,20250904,113,CAR00134,CUST000305,North America,Mexico,BMW Guadalajara,Nina Andersson,Lease Return Buyout,Dealership Walk-in,Bank Loan,1.57,81696.9,False,0,4,4.8,1
140,20240526,20240707,42,CAR00135,CUST000298,Europe,United Kingdom,Park Lane BMW London,Ahmed Cohen,Corporate Fleet,Dealership Walk-in,Lease,2.93,64842.76,False,0,4,4.4,1
141,20220727,20221106,102,CAR00136,CUST002965,North America,Canada,BMW Vancouver,Fatima Rossi,Corporate Fleet,Online Configurator,Lease,4.48,78612.96,False,0,4,4.5,1
142,20231122,20240107,46,CAR00137,CUST003009,Asia Pacific,Singapore,Performance Motors Singapore,Tom Andersson,Individual,Dealership Walk-in,Lease,2.88,76142.08,False,0,4,4.5,1
143,20220312,20220428,47,CAR00138,CUST001538,North America,USA,Chicago M Motors,Daniel Kim,Individual,Online Configurator,Manufacturer Finance,0.49,94932.54,False,0,4,4.8,1
144,20220831,20221014,44,CAR00139,CUST002010,Rest of World,South Africa,BMW Johannesburg,Liam Garcia,Individual,Dealership Walk-in,Bank Loan,3.12,92907.92,False,0,4,4.8,1
145,20250928,20251212,75,CAR00140,CUST001555,Rest of World,Brazil,BMW São Paulo,Nina Hassan,Individual,Online Configurator,Lease,4.08,125847.04,False,0,4,5.0,1
146,20250307,20250617,102,CAR00141,CUST000124,Asia Pacific,Japan,BMW Osaka,Felix Garcia,Corporate Fleet,Dealership Walk-in,Manufacturer Finance,0.0,88200.0,False,0,4,4.2,1
147,20230423,20230626,64,CAR00142,CUST002916,Europe,Switzerland,BMW Zürich,Noah Zhang,Individual,Referral,Cash,3.42,74270.02,False,0,4,4.5,1
