Car_ID,Model,Variant,Model_Year,Body_Type,Engine,Cylinders,Transmission,Drivetrain,Fuel_Type,Color,Horsepower_HP,Zero_to_100_sec,Top_Speed_MPH,MSRP_USD
CAR00076,XM,Base,2023,SUV,4.4L Twin-Turbo V8 Hybrid,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,698,3.2,155,171800
CAR00077,M4 Convertible,Competition,2024,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,494,4.0,155,110100
CAR00078,M3,Competition,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,513,3.9,155,87600
CAR00079,M2,Base,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Frozen Portimao Blue,442,4.0,155,69100
CAR00080,M3,Competition,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Signal Green,514,3.6,155,91600
CAR00081,M4 Convertible,Base,2026,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,487,3.9,155,93900
CAR00082,M8,Base,2022,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Black Sapphire,612,3.5,155,141200
CAR00083,X5 M,Competition,2023,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Toronto Red,613,3.4,155,128400
CAR00084,X4 M,Base,2023,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,486,4.0,155,84800
CAR00085,X4 M,Competition,2024,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,498,3.7,155,93900
CAR00086,M2,Base,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,439,4.2,155,69100
CAR00087,M3,Base,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Zandvoort Blue,502,4.0,155,78200
CAR00088,M4,Competition,2025,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,510,3.6,155,91800
CAR00089,M5,Competition,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Sao Paulo Yellow,687,3.2,155,148100
CAR00090,M2,Competition,2025,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,456,4.3,155,78200
CAR00091,M5,Competition,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Alpine White,680,3.4,155,126400
CAR00092,M5,Competition,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Brooklyn Grey,698,3.4,155,129000
CAR00093,X3 M,Competition,2023,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,495,3.9,155,86100
CAR00094,M4,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Sao Paulo Yellow,488,4.0,155,89000
CAR00095,M5,Competition,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Skyscraper Grey,693,3.7,155,138000
CAR00096,X6 M,Base,2023,SUV Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Black Sapphire,609,3.1,155,118800
CAR00097,M5,CS,2024,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Individual Frozen Grey,702,3.3,180,141600
CAR00098,X3 M,Competition,2022,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,494,3.9,155,87700
CAR00099,X5 M,Competition,2022,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,613,3.1,155,131800
CAR00100,M3,CS,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,516,3.8,185,110400
CAR00101,M5,Competition,2024,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Alpine White,693,3.3,155,139000
CAR00102,M5,Base,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Frozen Portimao Blue,652,3.2,155,135100
CAR00103,X4 M,Base,2024,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,488,3.9,155,87100
CAR00104,M4,CS,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Alpine White,508,4.3,190,105000
CAR00105,M2,CS,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Toronto Red,444,3.9,177,88500
CAR00106,X5 M,Competition,2025,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,614,3.5,155,126800
CAR00107,X5 M,Competition,2023,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,612,3.4,155,130000
CAR00108,M2,Competition,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,448,3.7,155,77000
CAR00109,X3 M,Base,2023,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,494,3.9,155,80800
CAR00110,X6 M,Base,2026,SUV Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Frozen Portimao Blue,608,3.7,155,127200
CAR00111,M3,Base,2022,Sedan,3.0L Twin-Turbo I6,6,6-Speed Manual,RWD,Petrol,Frozen Portimao Blue,495,4.0,155,82900
CAR00112,M5,Competition,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Black Sapphire,692,3.4,155,131700
CAR00113,M5,Competition,2022,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Signal Green,671,3.8,155,131400
CAR00114,M4,Base,2026,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Isle of Man Green,511,4.1,155,79500
CAR00115,M8,Base,2024,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Isle of Man Green,604,3.4,155,143200
CAR00116,M8 Gran Coupe,Competition,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,612,3.4,155,173500
CAR00117,M8,Competition,2023,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Petrol,Sao Paulo Yellow,616,3.7,155,161300
CAR00118,X6 M,Base,2022,SUV Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,607,3.3,155,127900
CAR00119,M5,Base,2022,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Frozen Portimao Blue,668,3.3,155,120900
CAR00120,M5,CS,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,702,3.2,177,138100
CAR00121,M4,Base,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,496,3.6,155,87800
CAR00122,M3,Competition,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Isle of Man Green,499,4.4,155,86000
CAR00123,M5,Base,2023,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Toronto Red,624,3.4,155,123500
CAR00124,X3 M,Base,2024,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Zandvoort Blue,493,4.0,155,77600
CAR00125,M4,Competition,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,506,3.8,155,91400
CAR00126,X5 M,Base,2024,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Brooklyn Grey,609,3.4,155,118400
CAR00127,X3 M,Base,2025,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Sao Paulo Yellow,486,3.9,155,83400
CAR00128,M3 Touring,Competition,2023,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,512,3.8,155,96300
CAR00129,X3 M,Competition,2026,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Diesel,Brooklyn Grey,498,4.0,155,87200
CAR00130,XM,Competition,2026,SUV,4.4L Twin-Turbo V8 Hybrid,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Individual Frozen Grey,692,3.5,155,190100
CAR00131,XM,Competition,2024,SUV,4.4L Twin-Turbo V8 Hybrid,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Toronto Red,714,3.2,155,195300
CAR00132,M8,Competition,2023,Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,612,3.2,155,150100
CAR00133,M3,CSL,2026,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Zandvoort Blue,504,4.1,185,138500
CAR00134,M3 Touring,Competition,2025,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Brooklyn Grey,511,3.9,155,88100
CAR00135,M2,Base,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,428,4.0,155,68800
CAR00136,X4 M,Base,2022,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Signal Green,486,3.7,155,84700
CAR00137,X3 M,Competition,2024,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,496,3.9,155,85700
CAR00138,M3,Base,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,503,3.9,155,93800
CAR00139,M4 Convertible,Base,2022,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,488,3.9,155,95500
CAR00140,M5,CS,2026,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Alpine White,659,3.5,190,131200
CAR00141,X3 M,Competition,2025,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,496,3.9,155,84500
CAR00142,M2,Competition,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Individual Frozen Grey,438,4.0,155,76900
CAR00143,X3 M,Base,2023,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Sao Paulo Yellow,486,3.6,155,77200
CAR00144,M3 Touring,Base,2024,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Signal Green,502,3.6,155,77000
CAR00145,M3 Touring,Base,2025,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,498,3.6,155,88200
CAR00146,M4 Convertible,Base,2022,Convertible,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Toronto Red,501,4.1,155,88000
CAR00147,X3 M,Competition,2025,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,499,4.0,155,85000
CAR00148,M3,Competition,2025,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Isle of Man Green,515,3.8,155,90600
CAR00149,M3 Touring,Base,2025,Wagon,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Alpine White,496,3.7,155,91800
CAR00150,M4,Base,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Brooklyn Grey,503,4.1,155,88100
CAR00151,M2,CS,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,459,4.1,177,86400
CAR00152,X6 M,Base,2026,SUV Coupe,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Alpine White,613,3.4,155,132900
CAR00153,M4,Competition,2024,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Zandvoort Blue,520,3.8,155,89200
CAR00154,M5,Competition,2025,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Signal Green,674,3.4,155,130800
CAR00155,M2,Base,2022,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,431,4.0,155,66000
CAR00156,X3 M,Competition,2023,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Skyscraper Grey,497,4.0,155,87200
CAR00157,M3,Competition,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,RWD,Petrol,Marina Bay Blue,510,3.9,155,90800
CAR00158,X3 M,Base,2026,SUV,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Black Sapphire,488,4.0,155,77400
CAR00159,X5 M,Competition,2023,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Marina Bay Blue,614,3.4,155,123800
CAR00160,M5,Base,2025,Sedan,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,RWD,Hybrid,Skyscraper Grey,685,3.2,155,121100
CAR00161,X5 M,Competition,2022,SUV,4.4L Twin-Turbo V8,8,8-Speed M Steptronic,AWD (M xDrive),Hybrid,Isle of Man Green,612,3.1,155,130600
CAR00162,X4 M,Competition,2025,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Marina Bay Blue,499,4.0,155,92400
CAR00163,X4 M,Competition,2024,SUV Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Frozen Portimao Blue,493,4.1,155,89400
CAR00164,M4,CS,2023,Coupe,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Individual Frozen Grey,513,4.3,177,106600
CAR00165,M3,Competition,2022,Sedan,3.0L Twin-Turbo I6,6,8-Speed M Steptronic,AWD (M xDrive),Petrol,Toronto Red,514,3.9,155,85600
